filename,case_id,center,station,fold
center_1_case_10_10L.png,center_1_case_10,center_1,10L,0
center_1_case_10_10R.png,center_1_case_10,center_1,10R,0
center_1_case_10_11L.png,center_1_case_10,center_1,11L,0
center_1_case_10_11R.png,center_1_case_10,center_1,11R,0
center_1_case_10_12L.png,center_1_case_10,center_1,12L,0
center_1_case_10_12R.png,center_1_case_10,center_1,12R,0
center_1_case_10_13L.png,center_1_case_10,center_1,13L,0
center_1_case_10_13R.png,center_1_case_10,center_1,13R,0
center_1_case_10_6L.png,center_1_case_10,center_1,6L,0
center_1_case_10_6R.png,center_1_case_10,center_1,6R,0
center_1_case_10_7L.png,center_1_case_10,center_1,7L,0
center_1_case_10_7R.png,center_1_case_10,center_1,7R,0
center_1_case_10_8.png,center_1_case_10,center_1,8,0
center_1_case_10_9.png,center_1_case_10,center_1,9,0
center_1_case_11_10L.png,center_1_case_11,center_1,10L,0
center_1_case_11_10R.png,center_1_case_11,center_1,10R,0
center_1_case_11_11L.png,center_1_case_11,center_1,11L,0
center_1_case_11_11R.png,center_1_case_11,center_1,11R,0
center_1_case_11_12L.png,center_1_case_11,center_1,12L,0
center_1_case_11_12R.png,center_1_case_11,center_1,12R,0
center_1_case_11_13L.png,center_1_case_11,center_1,13L,0
center_1_case_11_13R.png,center_1_case_11,center_1,13R,0
center_1_case_11_6L.png,center_1_case_11,center_1,6L,0
center_1_case_11_6R.png,center_1_case_11,center_1,6R,0
center_1_case_11_7L.png,center_1_case_11,center_1,7L,0
center_1_case_11_7R.png,center_1_case_11,center_1,7R,0
center_1_case_11_8.png,center_1_case_11,center_1,8,0
center_1_case_11_9.png,center_1_case_11,center_1,9,0
center_1_case_12_10L.png,center_1_case_12,center_1,10L,0
center_1_case_12_10R.png,center_1_case_12,center_1,10R,0
center_1_case_12_11L.png,center_1_case_12,center_1,11L,0
center_1_case_12_11R.png,center_1_case_12,center_1,11R,0
center_1_case_12_12L.png,center_1_case_12,center_1,12L,0
center_1_case_12_12R.png,center_1_case_12,center_1,12R,0
center_1_case_12_13L.png,center_1_case_12,center_1,13L,0
center_1_case_12_13R.png,center_1_case_12,center_1,13R,0
center_1_case_12_6L.png,center_1_case_12,center_1,6L,0
center_1_case_12_6R.png,center_1_case_12,center_1,6R,0
center_1_case_12_7L.png,center_1_case_12,center_1,7L,0
center_1_case_12_7R.png,center_1_case_12,center_1,7R,0
center_1_case_12_8.png,center_1_case_12,center_1,8,0
center_1_case_12_9.png,center_1_case_12,center_1,9,0
center_1_case_13_10L.png,center_1_case_13,center_1,10L,0
center_1_case_13_10R.png,center_1_case_13,center_1,10R,0
center_1_case_13_11L.png,center_1_case_13,center_1,11L,0
center_1_case_13_11R.png,center_1_case_13,center_1,11R,0
center_1_case_13_12L.png,center_1_case_13,center_1,12L,0
center_1_case_13_12R.png,center_1_case_13,center_1,12R,0
center_1_case_13_13L.png,center_1_case_13,center_1,13L,0
center_1_case_13_13R.png,center_1_case_13,center_1,13R,0
center_1_case_13_6L.png,center_1_case_13,center_1,6L,0
center_1_case_13_6R.png,center_1_case_13,center_1,6R,0
center_1_case_13_7L.png,center_1_case_13,center_1,7L,0
center_1_case_13_7R.png,center_1_case_13,center_1,7R,0
center_1_case_13_8.png,center_1_case_13,center_1,8,0
center_1_case_13_9.png,center_1_case_13,center_1,9,0
center_1_case_14_10L.png,center_1_case_14,center_1,10L,0
center_1_case_14_10R.png,center_1_case_14,center_1,10R,0
center_1_case_14_11L.png,center_1_case_14,center_1,11L,0
center_1_case_14_11R.png,center_1_case_14,center_1,11R,0
center_1_case_14_12L.png,center_1_case_14,center_1,12L,0
center_1_case_14_12R.png,center_1_case_14,center_1,12R,0
